"{'Timestamp': '23-05-2022:12:42:52:217760', 'Gyro1': '90.25', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '-0.0', 'TheoV': '0.006', 'TheoA': '0.6'}"
"{'Timestamp': '23-05-2022:12:42:52:225780', 'Gyro1': '90.25', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '-0.0', 'TheoV': '0.0', 'TheoA': '-0.6'}"
"{'Timestamp': '23-05-2022:12:42:52:235905', 'Gyro1': '90.25', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '-0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:42:52:245972', 'Gyro1': '90.25', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '-0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:42:52:257644', 'Gyro1': '90.25', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '-0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:42:52:265933', 'Gyro1': '90.25', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '-0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:42:52:276540', 'Gyro1': '90.24', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '-0.002', 'TheoA': '-0.2'}"
"{'Timestamp': '23-05-2022:12:42:52:285499', 'Gyro1': '90.24', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.222'}"
"{'Timestamp': '23-05-2022:12:42:52:297534', 'Gyro1': '90.24', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:42:52:305733', 'Gyro1': '90.24', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:42:52:315828', 'Gyro1': '90.24', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:42:52:326276', 'Gyro1': '90.24', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:42:52:337357', 'Gyro1': '90.24', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:42:52:345553', 'Gyro1': '90.24', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:42:52:355917', 'Gyro1': '90.24', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:42:52:365665', 'Gyro1': '90.24', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:42:52:376666', 'Gyro1': '90.24', 'Vx1': '0.0', 'Vy1': '0.0', 'Vz1': '0.0', 'Vm1': '0.0', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.734', 'Vx2': '0.0', 'Vy2': '0.0', 'Vz2': '0.0', 'Vm2': '0.0', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
