"{'Timestamp': '23-05-2022:12:50:09:350709', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.017', 'Vz1': '0.0', 'Vm1': '0.017', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.017', 'Vz2': '0.0', 'Vm2': '0.017', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:359861', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.017', 'Vz1': '0.0', 'Vm1': '0.017', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.017', 'Vz2': '0.0', 'Vm2': '0.017', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:369956', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.018', 'Vz1': '0.0', 'Vm1': '0.018', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.018', 'Vz2': '0.0', 'Vm2': '0.018', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:380166', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.018', 'Vz1': '0.0', 'Vm1': '0.018', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.018', 'Vz2': '0.0', 'Vm2': '0.018', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:390628', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.018', 'Vz1': '0.0', 'Vm1': '0.018', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.018', 'Vz2': '0.0', 'Vm2': '0.018', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:399991', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.018', 'Vz1': '0.0', 'Vm1': '0.018', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.018', 'Vz2': '0.0', 'Vm2': '0.018', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:410355', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.018', 'Vz1': '0.0', 'Vm1': '0.018', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.018', 'Vz2': '0.0', 'Vm2': '0.018', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:419413', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.019', 'Vz1': '0.0', 'Vm1': '0.019', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.684', 'Vx2': '0.001', 'Vy2': '0.019', 'Vz2': '0.0', 'Vm2': '0.019', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:430991', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.019', 'Vz1': '0.0', 'Vm1': '0.019', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.694', 'Vx2': '0.001', 'Vy2': '0.019', 'Vz2': '0.0', 'Vm2': '0.019', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:440295', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.019', 'Vz1': '0.0', 'Vm1': '0.019', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.694', 'Vx2': '0.001', 'Vy2': '0.019', 'Vz2': '0.0', 'Vm2': '0.019', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:449980', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.019', 'Vz1': '0.0', 'Vm1': '0.019', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.694', 'Vx2': '0.001', 'Vy2': '0.019', 'Vz2': '0.0', 'Vm2': '0.019', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:459815', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.019', 'Vz1': '0.0', 'Vm1': '0.019', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.694', 'Vx2': '0.001', 'Vy2': '0.019', 'Vz2': '0.0', 'Vm2': '0.019', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:471592', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.02', 'Vz1': '0.0', 'Vm1': '0.02', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.694', 'Vx2': '0.001', 'Vy2': '0.02', 'Vz2': '0.0', 'Vm2': '0.02', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:480230', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.02', 'Vz1': '0.0', 'Vm1': '0.02', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.694', 'Vx2': '0.001', 'Vy2': '0.02', 'Vz2': '0.0', 'Vm2': '0.02', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:490272', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.02', 'Vz1': '0.0', 'Vm1': '0.02', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.694', 'Vx2': '0.001', 'Vy2': '0.02', 'Vz2': '0.0', 'Vm2': '0.02', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:499202', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.02', 'Vz1': '0.0', 'Vm1': '0.02', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.694', 'Vx2': '0.001', 'Vy2': '0.02', 'Vz2': '0.0', 'Vm2': '0.02', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:511289', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.02', 'Vz1': '0.0', 'Vm1': '0.02', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.694', 'Vx2': '0.001', 'Vy2': '0.02', 'Vz2': '0.0', 'Vm2': '0.02', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:520087', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.021', 'Vz1': '0.0', 'Vm1': '0.021', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.694', 'Vx2': '0.001', 'Vy2': '0.021', 'Vz2': '0.0', 'Vm2': '0.021', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:530066', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.021', 'Vz1': '0.0', 'Vm1': '0.021', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.694', 'Vx2': '0.001', 'Vy2': '0.021', 'Vz2': '0.0', 'Vm2': '0.021', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
"{'Timestamp': '23-05-2022:12:50:09:540865', 'Gyro1': '90.21', 'Vx1': '0.002', 'Vy1': '0.021', 'Vz1': '0.0', 'Vm1': '0.021', 'Ax1': '0.0', 'Ay1': '-0.0', 'Az1': '0.0', 'Gyro2': '73.694', 'Vx2': '0.001', 'Vy2': '0.021', 'Vz2': '0.0', 'Vm2': '0.021', 'Ax2': '0.0', 'Ay2': '-0.0', 'Az2': '0.0', 'TheoV': '0.0', 'TheoA': '0.0'}"
